"Var","Proxy","mean_bias","stdev_bias","filled","gaps_remain"
"Tmin","solved",NA,NA,"12029","1182"
"Tmin","interpolated",NA,NA,"1182","0"
"Tmax","solved",NA,NA,"11903","1308"
"Tmax","interpolated",NA,NA,"1308","0"
