"DATE","YEARMODA","Year","Month","Day","Tmin","Tmax","Tmean","Prec","Tmin_source","Tmax_source","no_Tmin","no_Tmax"
1999-02-11 12:00:00,19990211,1999,2,11,-13.2222222222222,-5,-8.5,0,NA,NA,FALSE,FALSE
1999-02-12 12:00:00,19990212,1999,2,12,-6.72222222222222,-2.77777777777778,-4.61111111111111,0,NA,NA,FALSE,FALSE
1999-02-13 12:00:00,19990213,1999,2,13,-8.5,0.277777777777778,-4.16666666666667,0,NA,NA,FALSE,FALSE
1999-02-14 12:00:00,19990214,1999,2,14,-6.11111111111111,-2.72222222222222,-4.33333333333333,0,NA,NA,FALSE,FALSE
1999-02-15 12:00:00,19990215,1999,2,15,-5.5,-0.499999999999999,-3.05555555555556,0,NA,NA,FALSE,FALSE
1999-02-16 12:00:00,19990216,1999,2,16,-11.2222222222222,0,-7.77777777777778,0,NA,NA,FALSE,FALSE
1999-02-17 12:00:00,19990217,1999,2,17,-11.7222222222222,-5.27777777777778,-7.5,0,NA,NA,FALSE,FALSE
1999-02-18 12:00:00,19990218,1999,2,18,-9.22222222222222,-6.27777777777778,-7.55555555555556,0,NA,NA,FALSE,FALSE
1999-02-19 12:00:00,19990219,1999,2,19,-10.5,-6.11111111111111,-7.77777777777778,0,NA,NA,FALSE,FALSE
1999-02-20 12:00:00,19990220,1999,2,20,-8.88888888888889,-4.22222222222222,-6.38888888888889,0,NA,NA,FALSE,FALSE
1999-02-21 12:00:00,19990221,1999,2,21,-11.7777777777778,-6.27777777777778,-8.27777777777778,0,NA,NA,FALSE,FALSE
1999-02-22 12:00:00,19990222,1999,2,22,-7.27777777777778,-5.72222222222222,-6.55555555555556,0,NA,NA,FALSE,FALSE
1999-02-23 12:00:00,19990223,1999,2,23,-10.7222222222222,-6.72222222222222,-9.38888888888889,0,NA,NA,FALSE,FALSE
1999-02-24 12:00:00,19990224,1999,2,24,-14.2777777777778,-6.61111111111111,-10.0555555555556,0,NA,NA,FALSE,FALSE
1999-02-25 12:00:00,19990225,1999,2,25,-9.88888888888889,-3.72222222222222,-7.5,0,NA,NA,FALSE,FALSE
1999-02-26 12:00:00,19990226,1999,2,26,-10,-4.27777777777778,-6.94444444444444,0,NA,NA,FALSE,FALSE
1999-02-27 12:00:00,19990227,1999,2,27,-7.22222222222222,-4,-5.61111111111111,0,NA,NA,FALSE,FALSE
1999-02-28 12:00:00,19990228,1999,2,28,-6.5,-3.61111111111111,-5.11111111111111,0,NA,NA,FALSE,FALSE
1999-03-01 12:00:00,19990301,1999,3,1,-5.72222222222222,-2.72222222222222,-3.55555555555555,0,NA,NA,FALSE,FALSE
1999-03-02 12:00:00,19990302,1999,3,2,-8.27777777777778,-4,-6.5,0,NA,NA,FALSE,FALSE
1999-03-03 12:00:00,19990303,1999,3,3,-12.8888888888889,-8,-10.6111111111111,0,NA,NA,FALSE,FALSE
1999-03-04 12:00:00,19990304,1999,3,4,-13,-7.38888888888889,-10.0555555555556,0,NA,NA,FALSE,FALSE
1999-03-05 12:00:00,19990305,1999,3,5,-8.5,-7,-8,0,NA,NA,FALSE,FALSE
1999-03-06 12:00:00,19990306,1999,3,6,-8.5,-5.77777777777778,-7,0,NA,NA,FALSE,FALSE
1999-03-07 12:00:00,19990307,1999,3,7,-7.38888888888889,-2.61111111111111,-5,0,NA,NA,FALSE,FALSE
1999-03-08 12:00:00,19990308,1999,3,8,-3.77777777777778,-2.5,-3.16666666666667,0,NA,NA,FALSE,FALSE
1999-03-09 12:00:00,19990309,1999,3,9,-12,-3.38888888888889,-10.1111111111111,0,NA,NA,FALSE,FALSE
1999-03-10 12:00:00,19990310,1999,3,10,-13.7222222222222,-7.11111111111111,-11.6666666666667,0,NA,NA,FALSE,FALSE
1999-03-11 12:00:00,19990311,1999,3,11,-14.3888888888889,-4.72222222222222,-11.0555555555556,0,NA,NA,FALSE,FALSE
1999-03-12 12:00:00,19990312,1999,3,12,-12.7222222222222,-8.88888888888889,-10.7777777777778,0,NA,NA,FALSE,FALSE
1999-03-13 12:00:00,19990313,1999,3,13,-12.8888888888889,-7.61111111111111,-10.1111111111111,0,NA,NA,FALSE,FALSE
1999-03-14 12:00:00,19990314,1999,3,14,-11.2222222222222,-6.27777777777778,-8.16666666666667,0,NA,NA,FALSE,FALSE
